id,datetime,temperature,humidity,rain,wind_speed,cloud_cover
48,2026-07-09 23:00:00,28.6,83.0,0.0,19.2,42.0
49,2026-07-10 00:00:00,28.5,83.0,0.0,17.8,74.0
50,2026-07-10 01:00:00,28.3,84.0,0.0,18.6,82.0
51,2026-07-10 02:00:00,28.3,85.0,0.0,18.4,95.0
52,2026-07-10 03:00:00,28.1,85.0,0.0,18.3,71.0
53,2026-07-10 04:00:00,28.1,85.0,0.0,19.5,38.0
54,2026-07-10 05:00:00,28.1,85.0,0.0,20.5,37.0
55,2026-07-10 06:00:00,28.1,85.0,0.0,19.4,47.0
56,2026-07-10 07:00:00,28.6,81.0,0.0,21.2,48.0
57,2026-07-10 08:00:00,29.4,76.0,0.0,22.4,41.0
58,2026-07-10 09:00:00,30.2,72.0,0.0,22.2,52.0
59,2026-07-10 10:00:00,30.9,67.0,0.0,23.5,78.0
60,2026-07-10 11:00:00,31.2,66.0,0.0,23.9,95.0
61,2026-07-10 12:00:00,31.5,65.0,0.0,24.5,91.0
62,2026-07-10 13:00:00,31.5,64.0,0.0,24.8,98.0
63,2026-07-10 14:00:00,31.3,64.0,0.0,25.3,100.0
64,2026-07-10 15:00:00,31.2,65.0,0.0,25.4,97.0
65,2026-07-10 16:00:00,30.7,68.0,0.0,25.5,95.0
66,2026-07-10 17:00:00,30.4,70.0,0.0,25.0,87.0
67,2026-07-10 18:00:00,29.7,74.0,0.0,24.8,65.0
68,2026-07-10 19:00:00,29.3,76.0,0.0,24.1,48.0
69,2026-07-10 20:00:00,28.9,79.0,0.0,24.6,26.0
70,2026-07-10 21:00:00,28.7,81.0,0.0,23.4,18.0
71,2026-07-10 22:00:00,28.6,82.0,0.0,21.8,29.0
72,2026-07-10 23:00:00,28.4,83.0,0.0,21.5,52.0
73,2026-07-11 00:00:00,28.3,84.0,0.0,22.4,70.0
74,2026-07-11 01:00:00,28.1,86.0,0.0,22.1,73.0
75,2026-07-11 02:00:00,28.1,86.0,0.0,22.2,31.0
76,2026-07-11 03:00:00,28.0,86.0,0.0,21.7,73.0
77,2026-07-11 04:00:00,28.1,86.0,0.0,21.8,91.0
78,2026-07-11 05:00:00,28.0,87.0,0.0,21.6,59.0
79,2026-07-11 06:00:00,28.1,86.0,0.0,21.6,55.0
80,2026-07-11 07:00:00,28.5,83.0,0.1,23.4,51.0
81,2026-07-11 08:00:00,29.2,78.0,0.0,24.1,54.0
82,2026-07-11 09:00:00,30.0,74.0,0.0,24.4,90.0
83,2026-07-11 10:00:00,30.9,69.0,0.0,25.2,92.0
84,2026-07-11 11:00:00,31.0,69.0,0.0,26.1,94.0
85,2026-07-11 12:00:00,31.5,68.0,0.0,25.8,32.0
86,2026-07-11 13:00:00,31.4,68.0,0.0,26.4,26.0
87,2026-07-11 14:00:00,31.4,68.0,0.0,26.5,24.0
88,2026-07-11 15:00:00,31.2,69.0,0.0,25.4,10.0
89,2026-07-11 16:00:00,30.8,72.0,0.0,23.9,1.0
90,2026-07-11 17:00:00,30.4,73.0,0.0,22.5,2.0
91,2026-07-11 18:00:00,29.7,76.0,0.0,22.4,3.0
92,2026-07-11 19:00:00,29.0,82.0,0.0,19.4,1.0
93,2026-07-11 20:00:00,28.7,84.0,0.0,17.7,5.0
94,2026-07-11 21:00:00,28.6,85.0,0.0,16.4,4.0
95,2026-07-11 22:00:00,28.6,84.0,0.0,15.3,17.0
96,2026-07-11 23:00:00,28.5,85.0,0.0,15.1,2.0
97,2026-07-12 00:00:00,28.5,84.0,0.0,15.7,1.0
98,2026-07-12 01:00:00,28.5,84.0,0.0,16.9,0.0
99,2026-07-12 02:00:00,28.5,83.0,0.0,17.8,0.0
100,2026-07-12 03:00:00,28.5,83.0,0.0,18.0,0.0
101,2026-07-12 04:00:00,28.4,83.0,0.0,18.1,0.0
102,2026-07-12 05:00:00,28.6,82.0,0.0,18.4,0.0
103,2026-07-12 06:00:00,28.9,80.0,0.0,19.5,1.0
104,2026-07-12 07:00:00,29.3,78.0,0.0,20.8,1.0
105,2026-07-12 08:00:00,29.9,75.0,0.0,22.1,2.0
106,2026-07-12 09:00:00,30.5,73.0,0.0,22.9,1.0
107,2026-07-12 10:00:00,31.3,69.0,0.0,23.4,0.0
108,2026-07-12 11:00:00,31.8,67.0,0.0,23.7,1.0
109,2026-07-12 12:00:00,32.2,66.0,0.0,23.6,3.0
110,2026-07-12 13:00:00,32.3,65.0,0.0,23.3,6.0
111,2026-07-12 14:00:00,32.3,66.0,0.0,22.6,17.0
112,2026-07-12 15:00:00,32.0,67.0,0.0,21.9,46.0
113,2026-07-12 16:00:00,31.4,69.0,0.0,20.9,82.0
114,2026-07-12 17:00:00,30.9,71.0,0.0,19.8,98.0
115,2026-07-12 18:00:00,30.3,74.0,0.0,18.3,75.0
116,2026-07-12 19:00:00,29.6,78.0,0.0,16.7,32.0
117,2026-07-12 20:00:00,29.1,81.0,0.0,15.6,0.0
118,2026-07-12 21:00:00,28.9,82.0,0.0,15.3,0.0
119,2026-07-12 22:00:00,28.9,82.0,0.0,15.3,0.0
120,2026-07-12 23:00:00,28.8,82.0,0.0,15.4,1.0
121,2026-07-13 00:00:00,28.7,82.0,0.0,15.3,1.0
122,2026-07-13 01:00:00,28.6,83.0,0.0,15.2,1.0
123,2026-07-13 02:00:00,28.4,83.0,0.0,15.2,1.0
124,2026-07-13 03:00:00,28.3,85.0,0.0,15.3,1.0
125,2026-07-13 04:00:00,28.2,86.0,0.0,15.7,2.0
126,2026-07-13 05:00:00,28.2,86.0,0.0,16.2,4.0
127,2026-07-13 06:00:00,28.4,84.0,0.0,17.2,6.0
128,2026-07-13 07:00:00,28.8,82.0,0.0,18.3,10.0
129,2026-07-13 08:00:00,29.2,80.0,0.0,19.5,20.0
130,2026-07-13 09:00:00,29.5,78.0,0.0,20.8,42.0
131,2026-07-13 10:00:00,29.9,76.0,0.0,21.9,69.0
132,2026-07-13 11:00:00,30.1,75.0,0.0,22.8,87.0
133,2026-07-13 12:00:00,30.2,74.0,0.1,23.4,88.0
134,2026-07-13 13:00:00,30.3,74.0,0.1,23.7,79.0
135,2026-07-13 14:00:00,30.2,74.0,0.1,23.5,70.0
136,2026-07-13 15:00:00,30.0,75.0,0.0,22.8,61.0
137,2026-07-13 16:00:00,29.7,77.0,0.0,21.9,51.0
138,2026-07-13 17:00:00,29.3,79.0,0.0,20.7,46.0
139,2026-07-13 18:00:00,28.9,81.0,0.0,19.8,51.0
140,2026-07-13 19:00:00,28.5,83.0,0.0,18.7,60.0
141,2026-07-13 20:00:00,28.2,85.0,0.0,17.9,67.0
142,2026-07-13 21:00:00,28.1,86.0,0.0,17.7,68.0
143,2026-07-13 22:00:00,28.1,86.0,0.0,17.7,67.0
144,2026-07-13 23:00:00,28.0,86.0,0.0,17.4,64.0
145,2026-07-14 00:00:00,27.9,86.0,0.1,16.3,57.0
146,2026-07-14 01:00:00,27.7,85.0,0.1,15.0,49.0
147,2026-07-14 02:00:00,27.6,85.0,0.1,14.1,42.0
148,2026-07-14 03:00:00,27.4,88.0,0.0,15.0,42.0
149,2026-07-14 04:00:00,27.4,88.0,0.0,14.7,38.0
150,2026-07-14 05:00:00,27.5,87.0,0.0,14.7,38.0
151,2026-07-14 06:00:00,27.8,85.0,0.1,14.6,44.0
152,2026-07-14 07:00:00,28.3,82.0,0.1,14.5,55.0
153,2026-07-14 08:00:00,28.9,78.0,0.1,14.4,69.0
154,2026-07-14 09:00:00,29.5,75.0,0.1,14.7,82.0
155,2026-07-14 10:00:00,30.0,72.0,0.1,14.9,92.0
156,2026-07-14 11:00:00,30.3,71.0,0.1,15.1,97.0
157,2026-07-14 12:00:00,30.4,70.0,0.0,15.4,95.0
158,2026-07-14 13:00:00,30.5,70.0,0.0,15.7,89.0
159,2026-07-14 14:00:00,30.4,71.0,0.0,15.9,80.0
160,2026-07-14 15:00:00,30.2,72.0,0.0,16.1,70.0
161,2026-07-14 16:00:00,30.0,73.0,0.0,16.3,60.0
162,2026-07-14 17:00:00,29.8,74.0,0.0,16.3,54.0
163,2026-07-14 18:00:00,29.6,75.0,0.0,16.3,50.0
164,2026-07-14 19:00:00,29.3,77.0,0.0,16.4,47.0
165,2026-07-14 20:00:00,29.0,78.0,0.0,16.4,45.0
166,2026-07-14 21:00:00,28.7,80.0,0.0,16.3,44.0
167,2026-07-14 22:00:00,28.4,82.0,0.0,16.2,44.0
168,2026-07-14 23:00:00,28.1,83.0,0.0,15.7,45.0
